county,provider,contract_plan,plan_category,dental_notes,dental_scorecard,dental_scorecard_notes,vision_coverage,hearing_aid_coverage,pers_coverage,meals_benefit_structure,worldwide_benefit_structure ,other_benefits,additional_notes,optional_supplemental_benefit_package
AL: Huntsville,Humana Inc.,H5619 - 093 - 000,D-SNP HMO,This is a very comprehensive plan and covers some codes that we should think about covering in the 2024 plan such as gingival grafts and cone beam radiographs. The Humana plan does not cover implants event though they cover procedures that are usually used for implants such as cone beam radiographs. They cover periodontal surgery like Devoted does. ,Weak,Devoted's DSNP plan has a $5000 max with no coinsurance compared to this Humana plan that has a $3000 plan. It looks like this Humana plan is slightly more comprehensive than Devoted's DSNP plan but still weaker overall,"Frames and Lens Package
You have a choice of: – $400 Benefit toward the purchase and fitting of eyeglasses and pair
of lenses or contact lenses (1 per calendar year)
Contact lenses will include conventional or disposable.
Ultraviolet protection and scratch resistant coating are included in the
eyeglass allowance benefit.
The benefit can only be used one time. Any remaining benefit dollars do
not""roll over""to a future purchase.","Hearing aid purchase includes: – Unlimited follow-up provider visits during first year following
TruHearing hearing aid purchase – 60-day trial period
– 3-year extended warrantyHearing aid purchase includes: ","The medical alert service comes with an installed in-home
communication device and a wearable button. You have the choice
between a push button unit (with or without AutoAlert fall detection) or a
wrist unit (without AutoAlert).","eligible to receive 2 meals per day for 7 days at no extra cost to you. 14
nutritious meals will be delivered to your home.",UNK,"Healthy Options Allowance Includes: Food and produce
• Over-the-Counter (OTC) products
• Home supplies
• General supports for living (rent assistance, utilities, internet
payments**)
• Meal delivery services
• Personal wellness products
• Bathroom safety devices
• Non-medical transportation**
• Pest control**
• Robotic pets
• Disaster-relief products
• Pet care and supplies**",Healthy Benefits Plus Store Finder,
AL: Huntsville,CVS Health Corporation,H3239 - 002 - 000,D-SNP HMO,"Aetna's plan is comprehensive but in the EOC, it says that out-of-network treatment is not covered. Unsure if implants and periodontal surgery is covered.",Weak,Devoted's DSNP plan has a $5000 max with no coinsurance compared to this Aetna plan with a $3000 plan. Both plans have similar comprehensive coverage so Devoted plan is stronger.,"• Contact lenses*
• Eyeglasses (lenses and frames)*
• Eyeglass lenses*
• Eyeglass frames*
• Upgrades*","Plan
pays up to $1,250 per ear for hearing aids every year. You are
responsible for any amount above the hearing aid coverage","This benefit includes the equipment
(in‐home or mobile with GPS), shipping, fulfillment, monitoring
and customer service.","28 meals over a 14‐day
period* delivered to your home.","$250,000 annual maximum benefit for worldwide emergency
and urgently needed care. In addition to ER Care they also provide Emergency ambulance services (worldwide) ","Fitness Program (Memory fitness)
As part of addressing your mind‐body health, you’ll have
access to BrainHQ, an online memory fitness program.","One (1) physical examination or re‐examination per
calendar year
One (1) spinal x‐ray procedure per calendar year
One (1) manipulation/adjustment of joints such as
shoulders, elbows, knees, and ankles (not the spine) per
visit
One (1) of the following therapeutic procedures or
manual therapies per visit:
○ Electrical Stimulation
○ Ultrasound
○ Therapeutic Exercise
Manual Therapy such as mobilization or
manipulation, manual lymphatic drainage, and
manual traction",
AL: Huntsville,"UnitedHealth Group, Inc.",H0432 - 009 - 000,D-SNP HMO,This is a well rounded comprehensive plan. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,Weak, Devoted's DSNP plan has a $5000 max with no coinsurance. The only difference is that UHC has implant coverage,"$550 toward your purchase of frames (with
standard lenses covered in full)
or contact lenses (fitting and
evaluation may be an additional
cost) ""1 pair of standard lenses and frames every year
Standard lenses that are covered in full include single vision,
lined bifocal, lined trifocal, lenticular, and Tier I (standard)
progressive lenses.
or
• Contact lenses instead of lenses and frames every year
Once contact lenses are selected and fitted, they may not be
exchanged for eyeglasses.""","limited to 2 hearing aids every year. Hearing aid accessories
and optional services are available for purchase, but they
are not covered by the plan.",$0 button wrist/pendant; covers the subscription ,"28 home-delivered meals up to 14 days. This benefit can be used immediately
following an inpatient hospital or
skilled nursing facility (SNF) stay if
recommended by a provider.",UNK,N/A,,
AL: Huntsville,"UnitedHealth Group, Inc.",H0432 - 003 - 000,Zero MAPD HMO,Low max compared to other UHC plans  0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,Weak," Devoted's CORE plan has a $4000 max with no coinsurance so there is no comparison. The only difference is that UHC has implant coverage but with a $1,250 max, that doesn't mean much.","$200 toward your purchase of frames (with
standard lenses covered in full)
or contact lenses (fitting and
evaluation may be an additional
cost) ""1 pair of standard lenses and frames every year
Standard lenses that are covered in full include single vision,
lined bifocal, lined trifocal, lenticular, and Tier I (standard)
progressive lenses.
or
• Contact lenses instead of lenses and frames every year
Once contact lenses are selected and fitted, they may not be
exchanged for eyeglasses.""","limited to 2 hearing aids every year. Hearing aid accessories
and optional services are available for purchase, but they
are not covered by the plan.",$0 button wrist/pendant; covers the subscription ,"28 home-delivered meals up to 14 days. This benefit can be used immediately
following an inpatient hospital or
skilled nursing facility (SNF) stay if
recommended by a provider.",UNK,N/A,N/A,
AL: Huntsville,"Triton Health Systems, LLC",H0154 - 017 - 000,Zero MAPD HMO,"As far as I can tell, VIVA has their own dental network. Codes not provided. This is an allowance so there isn't any coinsurance. In the EOC, it says that member can also use their FLEX CARD allowance towards any additional dental costs.",Weak,"Devoted's CORE plan in zip code has a $4000 max with no coinsurance and this plan only has a $1,100 allowance. Even with a FLEX CARD to cover additional dental costs, the Devoted plan seems to be much better.","$150 toward prescription eyewear (glasses, contacts,
lenses, frames and upgrades) once per calendar year. If
you pay for prescription eyewear out-of-pocket, a
request for reimbursement, including a copy of your
receipt showing proof of payment, should be filed with
our plan.","Hearing aids: You are covered for one hearing aid per
ear, per calendar year.
Hearing aid purchases include:
 3 follow-up visits within first year of initial fitting date
 60-day trial period from date of fitting
 60 batteries per hearing aid (3-year supply)
 3-year manufacturer repair warranty
 1-time replacement for lost, stolen or damaged hearing
aids during the 3-year manufacturer warranty (a
replacement fee that is based on the type of device being
replaced applies)
 First set of ear molds (when needed)",NC,NC,"There is a $50,000
annual coverage limit",N/A,N/A,
AL: Huntsville,CIGNA,H4513 - 054 - 000,Zero MAPD HMO,"This is an allowance plan that offers $1,250 and member can get whatever dental procedures he/she wants with a Cigna provider..no coinsurance for IN or OON. ",Weak,"Devoted has a $4000 max with no coinsurance and comprehensive coverage. Even though this plan has an allowance which is probably regarded as more favorable, it's only a $1250 allowance so it's a weaker plan. ","$0 copayment up to the eyewear
allowance for:
–up to one pair of eyeglasses (lenses
and frames) every year (routine eye
exam does not include a contact lens
fitting)
–unlimited contact lenses up to plan
coverage limit
–up to one pair of eyeglass lenses
every year
–up to one eyeglass frame every year
–upgrades","Hearing aid devices are limited to those worn externally and do not include
assisted listening devices, amplifiers or disposable devices.aid. A 4-year supply of batteries (up to 256
cells per hearing aid) is included",NC,"Members diagnosed with End-Stage Renal Disease (ESRD) and enrolled in an ESRD
care management program can get up to 56 healthy frozen meals delivered to their
home. Once per year    Home Delivered Meals: 14 healthy frozen meals delivered to their home. This benefit is available up to three
(3) times each year.","$50,000 (USD) combined limit per year
for emergency and urgent care
services provided outside the U.S. and
its territories.",N/A,N/A,
AL: Huntsville,Humana Inc.,H5619 - 094 - 000,Zero MAPD HMO,"This plan only covers preventive and diagnostic and fillings. 0% coinsurance for IN and 100% coinsurance for OON. Also, $25 copay for each filling",Weak,Devoted has a $4000 max with no coinsurance and comprehensive coverage. This plan only has a $1000 max with preventive+ coverage. No comparison,"You have a choice of: – $100 Benefit toward the purchase and fitting of eyeglasses and pair
of lenses or contact lenses (1 per calendar year)
Contact lenses will include conventional or disposable.
Ultraviolet protection and scratch resistant coating are included in the
eyeglass allowance benefit.","Hearing aid purchase includes: – Unlimited follow-up provider visits during first year following
TruHearing hearing aid purchase – 60-day trial period
– 3-year extended warranty – 80 batteries per aid for non-rechargeable models",NC,"2 meals per day for 7 days at no extra cost to you. 14
nutritious meals will be delivered to your home. Meal program limited to 4
times per calendar year.",UNK,N/A,N/A,"MyOption DEN204: $21.60 additional monthly premium
MyOption DEN205: $26.70 additional monthly premium
MyOption DEN432: $34.80 additional monthly premium"
AL: Huntsville,CVS Health Corporation,H5521 - 227 - 000,Zero MAPD PPO,"This is a comprehensive plan, no coinsurance for IN or OON unlike some other Aetna PPO plans that have 20% cosinsurance for OON care. No codes so difficult to know if implants or perio surgery is covered.",Weak,"Devoted has a $3000 max that is likely just as comprehensive as this Aetna plan which only has a $1,000 max. Even though Devoted has 50% coinsurance for OON comprehensive porcedures, this Devoted plan is much better.","Plan pays up to $250 every year (combined INN and OON) for eyeglasses (lenses and frames), contact lenses, eyeglass lenses, eyeglass frames, and upgrades. ","Plan pays up to $500 per ear for hearing aids every year, 2 hearing aids every year",NC,"Up to 14 home-delivered meals over a 7-day period after discharge from an inpatient acute hospital, inpatient psychiatric hospital, or SNF -- note that Observation Stays do not qualify for this benefit. Plan will confirm that this benefit will help support recovery or manage health conditions and is not based solely on convenience or comfort purposes.","$250,000 annual maximum benefit for worldwide emergency and urgently needed care.","Extra Benefits Card for SSBCI with $75 quarterly allowance on a preloaded debit card can be used for Healthy Foods and OTC items; Memory fitness program available as part of addressing mind-body health, members will have access to BrainHQ, an online memory fitness program.",N/A,N
AL: Huntsville,Humana Inc.,H5216 - 214 - 001,Zero MAPD PPO,"This plan only covers preventive and diagnostic and fillings. 0% coinsurance for IN and OON. Also, $25 copay for each filling",Weak,"Devoted has a $3000 max that is a very comprehensive plan compared to this preventive + plan that Humana offers. Even though Devoted has 50% OON coinsurance for comp procedures, Humana doesn't provide any coverage for comprehensive procedures so Devoted wins easily.",Plan pays up to $100 (INN or OON) toward the purchase and fitting of eyeglasses and pair of lenses OR contact lenses (conventional/disposable) per calendar year. UV protection and scratch-resistant coating are included in the benefit. Benefit can be used one time; any remaining benefit dollars do not roll over to a future purchase.,"Up to 2 TruHearing-branded hearing aids every year (1 per ear per year). $399 per Advanced aid and $699 per Premium aid; aids are available in rechargeable-style options for an additional $50 per aid. You must see a TruHearing provider to use this benefit. Hearing aid purchase includes: unlimited follow-up provider visits during first year following purchase, 60-day trial period, 3-year extended warranty, and 80 batteries per aid for nonrechargeable models. (Benefit does not include: add’l costs for optional aid rechargeability, ear molds, aid accessories, add’l provider visits, add’l batteries or batteries when rechargeable aid is purchased, non-TruHearing branded aids, costs associated w/ loss & damage warranty claims.)",NC,"2 home-delivered meals per day for 7 days, up to 14 meals. Meal program limited to 4 times per calendar year; meals have to be requested within 30 days of discharge from inpatient stay.",UNK,N/A,N,Y -- 3 different OSB plans available
AL: Huntsville,"UnitedHealth Group, Inc.",H6528 - 033 - 000,Zero MAPD PPO,This max is much lower than other UHC plans. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,Weak," Devoted's PPO plan in Alabama markets has a $3000 max with no coinsurance. Even though Devoted has 50% OON coinsurance for comp procedures, and UHC doesn't have coinsurance for OON care, Devoted's plan is still stronger. Note: UHC implant coverage doesn't mean much since the max is only $1,000.","Plan pays up to $200 toward 1 pair of standard lenses and frames every year. Standard lenses that are covered in full include single vision, lined bifocal, lined trifocal, lenticular, and Tier I (standard) progressive lenses OR contact lenses instead of lenses and frames every year. Once contact lenses are selected and fitted, they may not be exchanged for eyeglasses. Options that are not covered include (but are not limited to) non-prescription eyewear, upgraded progressive lenses, blended bifocal, Hi Index, tinting, scratch coating, UV or anti-reflective coating, and polycarbonate. Home delivered eyewear is available nationwide through UnitedHealthcare Vision (select products only).","Up to 2 hearing aids every year: $175 copay for each Silver-level aid; $425 copay for each Gold-level aid; $800 copay for each Classic-level name-brand aid; $1,225 copay for each Premier-level name-brand aid; includes home-delivered aids with virtual follow-up care (select models). Members can choose from a broad selection of name-brand aids or UnitedHealthcare Hearing's brand Relate, custom-programmed for your hearing loss. Hearing aid accessories and optional services are available for purchase but are not covered by the plan. Additional fees may apply for optional follow-up visits.","Wrist or as pendant; plan pays for subscription also, but member must have a working landline or live in an area that has AT&T wireless coverage to get a PERS device. Home-delivered devices are available nationwide through Lifeline, but member must pay for OON devices.",Up to 28 home-delivered meals for up to 14 days; first meal delivery may take up to 72 hours after ordered; benefit can be used immediately following an inpatient hospital or SNF stay if recommended by a provider.,UNK,N/A,N/A,N 
AL: Huntsville,BlueCross BlueShield of Alabama,H0104 - 012 - 000,Zero MAPD PPO,"I was able to locate the EOC for 2023 Blue Advantage PPO H0104. From what I've noticed when looking at competitor's EOCs, the dental benefit is almost always the same when there's little separation between the last 3 H numbers (014, 012) so it's likely that H0104-014 and H0104-012 have the same plan design.There isn't much in the EOC but they do mention a $1,000 allowance and how most comprehensive services are covered except for dental implants.",Weak,"Devoted's PPO plan in Alabama markets has a $3000 max with no coinsurance. This plan offers a $1,000 allowance so Devoted clearly wins.",,,,,,,,
AZ: Maricopa,Humana Inc.,H0028 - 052 - 000,Zero MAPD HMO,"Very comprehensive plan that covers perio surgery but no implants. Humana covers other dental procedure codes are covered that Devoted doesn't cover. Dental services are only covered at 0% coinsurance if members see a provider in the Humana network. Otherwise, members are responsible for 100% of care. ",Weak,"Devoted's CORE plan has a $4000 max and this Humana plan only has a $2,000 max. Looks like Humana covers more dental codes than Devoted but none of these extra codes are that meaningful. Humana doesn't cover implants so they don't have any advantage over Devoted's plan. ","You have a choice of: – $300 Benefit toward the purchase and fitting of eyeglasses and pair
of lenses or contact lenses (1 per calendar year)
Contact lenses will include conventional or disposable.
Ultraviolet protection and scratch resistant coating are included in the
eyeglass allowance benefit.","Hearing aid purchase includes: – Unlimited follow-up provider visits during first year following
TruHearing hearing aid purchase – 60-day trial period
– 3-year extended warranty – 80 batteries per aid for non-rechargeable models
Benefit does not include or cover any of the following: – Additional cost for optional hearing aid rechargeability – Ear molds – Hearing aid accessories – Additional provider visits – Additional batteries (or batteries when a rechargeable hearing aid is
purchased) – Hearing aids that are not TruHearing-branded hearing aids","$0 copayment per year for
installation and monitoring service; uses two way voice communication & five location
seeking technologies to send help quickly to wherever the member is
located.","2 meals per day for 7 days at no extra cost to you. 14
nutritious meals will be delivered to your home. Meal program limited to 4
times per calendar year.",UNK,"Hospital services in the home: Provider referred. You will
receive treatment and monitoring at home from a team of providers for up
to 30 day episode of care.
Conditions which are eligible to be treated with this benefit can include:
asthma, congestive heart failure, pneumonia, chronic obstructive
pulmonary disease (COPD), nutritional/metabolic disorders and urinary
tract infections (UTI).",N/A,N/A
AZ: Maricopa,"UnitedHealth Group, Inc.",H0609 - 046 - 000,Zero MAPD HMO,This is a well rounded comprehensive plan. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,Weak, Devoted's CORE plan has a $4000 max with no coinsurance. The only difference is that UHC has implant coverage,"Plan pays up to $200 toward
your purchase of frames (with
standard lenses covered in full)
or contact lenses (fitting and
evaluation may be an additional
cost).""1 pair of standard lenses and frames every year
Standard lenses that are covered in full include single vision,
lined bifocal, lined trifocal, lenticular, and Tier I (standard)
progressive lenses.
or
• Contact lenses instead of lenses and frames every year
Once contact lenses are selected and fitted, they may not be
exchanged for eyeglasses.""","limited to 2 hearing aids every year. Hearing aid accessories
and optional services are available for purchase, but they
are not covered by the plan.",NC,"28 home-delivered meals up to 14 days. This benefit can be used immediately
following an inpatient hospital or
skilled nursing facility (SNF) stay if
recommended by a provider.",UNK,N/A,N/A,
AZ: Maricopa,"UnitedHealth Group, Inc.",H0609 - 027 - 000,Zero MAPD HMO,This is a well rounded comprehensive plan. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,Weak, Devoted's CORE plan in zip code 85225 has a $4000 max with no coinsurance. The only difference is that UHC has implant coverage,"Plan pays up to $250 toward
your purchase of frames (with
standard lenses covered in full)
or contact lenses (fitting and
evaluation may be an additional
cost).""1 pair of standard lenses and frames every year
Standard lenses that are covered in full include single vision,
lined bifocal, lined trifocal, lenticular, and Tier I (standard)
progressive lenses.
or
• Contact lenses instead of lenses and frames every year
Once contact lenses are selected and fitted, they may not be
exchanged for eyeglasses.""","limited to 2 hearing aids every year. Hearing aid accessories
and optional services are available for purchase, but they
are not covered by the plan.",NC,"28 home-delivered meals up to 14 days. This benefit can be used immediately
following an inpatient hospital or
skilled nursing facility (SNF) stay if
recommended by a provider.",UNK,N/A,N/A,N/A
AZ: Maricopa,"UnitedHealth Group, Inc.",H0609 - 026 - 000,Zero MAPD HMO,"With a $500 max, this is essentially a preventive plan even though it covers comprehensive procedures. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.",Weak, Devoted's CORE plan in zip code 85225 has a $4000 max with no coinsurance. The only difference is that UHC has implant coverage but their plan is very weak by having a $500 max.,"Plan pays up to $200 toward
your purchase of frames (with
standard lenses covered in full)
or contact lenses (fitting and
evaluation may be an additional
cost).""1 pair of standard lenses and frames every year
Standard lenses that are covered in full include single vision,
lined bifocal, lined trifocal, lenticular, and Tier I (standard)
progressive lenses.
or
• Contact lenses instead of lenses and frames every year
Once contact lenses are selected and fitted, they may not be
exchanged for eyeglasses.""","limited to 2 hearing aids every year. Hearing aid accessories
and optional services are available for purchase, but they
are not covered by the plan.",NC,"28 home-delivered meals up to 14 days. This benefit can be used immediately
following an inpatient hospital or
skilled nursing facility (SNF) stay if
recommended by a provider.",UNK,N/A,N/A,Platinum Dental Rider is $50.00.
