County,Provider,CONTRACT_PLAN,PLAN_CATEGORY,Medicaid Coverage Categories (For D-SNP plans only),Enrolls All Duals (Y/N),"Types of Chronic Conditions (C-SNP only) (Diabetes, Coronary Artery Diseases, Cardiovascular Disorders, COPD, ESRD)",VBID (Y/N),Annual Max ,Annual Max - Shared Allowance (Y/N),Bridges Coinsurance,Crowns Coinsurance,Implant Coinsurance,Root Canal Coinsurance,Denture Coinsurance,Periodontal Surgery Coinsurance,"Dental Vendor Name (Vendor, Card Based, Allowance)",Optional Supplemental Benefit (Y/N),"Benefit Structure: Vendor, Non-vendor, Card-Based, Allowance","Out-of-Network Cost Share (Identical, Different)",Preventative Only (Y/N),Preventative and Comprehensive (Y/N),Implant Coverage (Y/N),Root Canal Coverage (Y/N),Denture Coverage (Y/N),Periodontal Surgery Coverage (Y/N),Crowns (Y/N),Bridges (Y/N),"Dental Score Card (Weak, Same or Strong) compared to Devoted plan design.  I will compare apples to apples (i.e. PPO vs PPO, 0 HMO vs 0 HMO) and will be comparing the overall dental plan design. ",Healthy Food Card Vendor,Healthy Food Card Amount,Healthy Food Card Benefit Structure (Monthly/Quarterly),Healthy Food Rollover,OTC Vendor,OTC Benefit Structure (Monthly/Quarterly),OTC - Retail (Y/N),OTC - Catalog (Y/N),OTC- Online (Y/N) ,OTC- Over-the-phone (Y/N) ,OTC Rollover (Y/N),Utilities Vendor,Utilities Benefit Structure (Monthly/Quarterly),Covered Utilities ,Utilities Rollover,Combined/Shared Benefit (Y/N) ,Additional Flex Card Benefit ,Additional Supplemental Benefit Choice (Use this row for if a member MUST choose a benefit at the time of enrollment),Routine Acupuncture Vendor,"Routine Acupuncture Benefit Structure (# of Visit /Timeframe, Coverage)",Medicare Covered Acupuncture Vendor,Therapeutic Massage Vendor,"Therapeutic Massage Benefit Structure (# of Visits/Timeframe, Coverage)",Routine Chiropractor Vendor,"Routine Chiropractor Benefit Structure (# of Visits/Timeframe, Coverage)",Vision Vendor,Fitness Vendor,Wearable Device (Fitness),Grocery Delivery,Hearing Aid Vendor,Nemt Vendor,Nemt Oneway Trip Limit,Nemt Distance (Max Mileage),In Home/ Bathroom Safety Devices (Y/N),In-Home Support Services/Personal Home Care Vendor,In-Home Support Services/Personal Home Care Benefit Structure ,PERS Vendor,PERS Coverage,Meals Vendor,Wig Chemo,Caregiver Support ,Worldwide Benefit Structure ,Companion Services ,Behavioral Health Vendor,DME Vendor,Nurse Line Vendor,Nurse Line 24/7 (Y/N)
AL: Huntsville,Humana Inc.,H5619 - 093 - 000,D-SNP HMO,"QMB, QMB+, SLMB, SLMB+, QI, QDWI, FBDE",Y,,Y,"$3,000",Y,"0% IN, 100% OON","0% IN, 100% OON",N/A,"0% IN, 100% OON","0% IN, 100% OON","0% IN, 100% OON",Humana?,,Vendor,Different,N,Y,N,Y,Y,Y,Y,Y,Weak,Solutran,$125 Shared,Monthly ,Y,Solutran,Monthly ,Y,UNK,Y,Y,Y,Solutran,Monthly ,"Rent assistance, utilities, internet payments. ",Y,Y,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UNK,"SilverSneaker (Tivity Health, Inc)",NC,Meal Delivery covered as part of Humana Options Allowance ,TruHearing,UNK ,Covered underneath Shared Healthy Options Allowance ,UNK,Y-Part of Healthy Options Allowance ,NC,NC,UNK,"The medical alert service comes with an installed in-home
communication device and a wearable button. You have the choice
between a push button unit (with or without AutoAlert fall detection) or a
wrist unit (without AutoAlert).",Humana Well Dine®,Y - $0 copayment Wigs related to Chemo ,NC,UNK,Robotic pets,UNK,UNK,UNK,N
AL: Huntsville,CVS Health Corporation,H3239 - 002 - 000,D-SNP HMO,"QMB, QMB +, SLMB +, FBDE",N,,Y,"$3,000",Y,0%,0%,N/A?,0%,0%,N/A?,Aetna,,Vendor,Different,N,Y,N?,Y,Y,N?,Y,Y,Weak,Nations Benefits,$300 Shared,Quarterly ,N,Nations Benefits,Quarterly ,Y,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,WholeHealth Network ,12 visits/year (list of covered services in additional notes),EyeMed,"SilverSneaker (Tivity Health, Inc)",NC,NC,NationsHearing ,Access2Care,48 one-way trips/year,100 miles ,"Y $150 allowance every year for
purchasing certain clinically appropriate home and bathroom
safety devices. You will be
responsible for installation and assembly. There is a limit of 3
orders per year,",NC,NC,LifeStation,"This benefit includes the equipment
(in‐home or mobile with GPS), shipping, fulfillment, monitoring
and customer service.",GA Foods,NC,NC,"$250,000 annual maximum benefit for worldwide emergency
and urgently needed care. In addition to ER Care they also provide Emergency ambulance services (worldwide) ",NC,UNK,UNK,UNK,Y
AL: Huntsville,"UnitedHealth Group, Inc.",H0432 - 009 - 000,D-SNP HMO,"QMB, QMB+, SLMB, SLMB+, QI, QDWI, FBDE",Y,,Y,"$3,000",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,Solutran,$150 Shared,Monthly,N,Solutran,Monthly,Y,Y,Y,Y,N,Solutran,Monthly,"Eligible utility bills like electricity, gas, water and
internet. The service address must match an address
we have on file for you",N,"Y (Food, OTC, Utility) ",N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision®,Renew Active®,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,SafeRide,48 one-way trips/year,50 miles,N,NC,NC,Lifeline,$0 button wrist/pendant; covers the subscription ,Mom’s Meals®,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
AL: Huntsville,"UnitedHealth Group, Inc.",H0432 - 003 - 000,Zero MAPD HMO,,,,Y,"$1,250",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,NC,N/A,N/A,N/A,In store: Solutran; online and over the phone: Firstline,Quarterly,Y,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision®,Renew Active®,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,NC,N/A,N/A,N,NC,NC,Lifeline,$0 button wrist/pendant; covers the subscription ,Mom’s Meals®,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
AL: Huntsville,"Triton Health Systems, LLC",H0154 - 017 - 000,Zero MAPD HMO,,,,N,"$1,100",Y,0%,0%,0%,0%,0%,N/A?,VIVA dental network,,Allowance,Identical,N,Y,N?,Y,Y,N?,Y,Y,Weak,NC,N/A,N/A,N/A,Nations Benefits ,Quarterly ,N,Y,Y,Y,N,NC,N/A,N/A,N/A,N,"The
Flex Card is a NationsBenefits Prepaid Mastercard® $30 per calendar quarter, Hearing Aids, OTC, Dental Services, Prescription Eyewear
.",N/A,NC,NC,UNK,NC,NC,NC,NC,UNK,Silver&Fit®/ASH,"Home Fitness Kit options include Fitbit, Garmin, Swin and Strength Kit ",NC,NationsHearing ,UNK,Routine health-related transportation benefit includes up to 5 round trip rides or 10 one-way rides.,UNK,N,NC,NC,NC,NC,NC,NC,NC,"There is a $50,000
annual coverage limit",NC,UNK,UNK,UNK,Y
AL: Huntsville,CIGNA,H4513 - 054 - 000,Zero MAPD HMO,,,,N,"$1,250",Y,N/A,N/A,N/A,N/A,N/A,N/A,Cigna,,Allowance,Identical,N,Y,Y?,Y?,Y?,Y?,Y?,Y?,Weak,NC,N/A,N/A,N/A,UNK,Quarterly,Y,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,EyeMed,Silver&Fit® & Healthwise ,"Home Fitness Kit options include Fitbit, Garmin, Swin and Strength Kit ",NC,Hearing Care Solutions,Access2Care,"10 one-way
trips to plan-approved locations every
year",UNK,N,NC,NC,NC,NC,UNK,NC,NC,"$50,000 (USD) combined limit per year
for emergency and urgent care
services provided outside the U.S. and
its territories.",NC,UNK,UNK,UNK,Y
AL: Huntsville,Humana Inc.,H5619 - 094 - 000,Zero MAPD HMO,,,,Y,"$1,000",Y,N/A,N/A,N/A,N/A,N/A,N/A,Humana?,,Vendor,Different,N,Y,N,N,N,N,N,N,Weak,NC,N/A,N/A,N/A,UNK,Quarterly,N,Y?,Y?,Y?,Y,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,EyeMed,"SilverSneaker (Tivity Health, Inc)",NC,NC,TruHearing,NC,NC,NC,N,NC,NC,NC,NC,Humana Well Dine®,NC,NC,UNK,NC,UNK,UNK,UNK,N
AL: Huntsville,CVS Health Corporation,H5521 - 227 - 000,Zero MAPD PPO,,,,,"$1,000",Y,0%,0%,N/A?,0%,0%,N/A?,Aetna,,Vendor,Identical,N,Y,N?,Y,Y,N?,Y,Y,Weak,NationsBenefits,"$75, shared w/ OTC (note: Healthy Food benefit for SSBCI only)",Quarterly,N ,NationsBenefits,Quarterly ,Y,Y,Y,Y,N,NC,NC,NC,NC,Y -- Healthy Food and OTC on Extra Benefits Card for SSBCI,Y -- Extra Benefits Card for SSBCI,N,NC,NC,UNK,NC,NC,NC,NC,EyeMed,"SilverSneaker (Tivity Health, Inc)",NC,NC,NationsHearing,NC,NC,NC,N ,NC,NC,NC,NC,GA Foods,NC,NC ,"$250,000 annual maximum benefit for worldwide emergency and urgently needed care.",NC,UNK,UNK,UNK,Y
AL: Huntsville,Humana Inc.,H5216 - 214 - 001,Zero MAPD PPO,,,,,"$1,000",Y,N/A,N/A,N/A,N/A,N/A,N/A,Humana?,,Vendor,Identical,N,Y,N,N,N,N,N,N,Weak,NC,NC,NC,NC,UNK,Quarterly,N ,Y,UNK -- mail order,UNK -- mail order,N ,NC,NC,NC,NC,N ,NC ,N/A,NC,NC,UNK,NC,NC,NC,NC,EyeMed Vision Care,"SilverSneaker (Tivity Health, Inc)",NC,NC,TruHearing,NC,NC,NC,NC,NC,NC,NC,NC,UNK,NC,NC,UNK,NC,UNK,UNK,NC,N 
AL: Huntsville,"UnitedHealth Group, Inc.",H6528 - 033 - 000,Zero MAPD PPO,,,,,"$1,000",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,N ,N ,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision,Renew Active,NC,NC,UnitedHealthcare Hearing,NC,NC,NC,NC,NC,NC,Lifeline,"Wrist or as pendant; plan pays for subscription also, but member must have a working landline or live in an area that has AT&T wireless coverage to get a PERS device. Home-delivered devices are available nationwide through Lifeline, but member must pay for OON devices.",Mom's Meals,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
AL: Huntsville,BlueCross BlueShield of Alabama,H0104 - 012 - 000,Zero MAPD PPO,,,,,"$1,000",Y,N/A,N/A,N/A,N/A,N/A,N/A,?,,Allowance,N/A,N,Y,N,Y,Y,N?,Y,Y,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ: Maricopa,Humana Inc.,H0028 - 052 - 000,Zero MAPD HMO,,,,Y,"$2,000",Y,0%,0%,N/A,0%,0%,0%,Humana?,,Allowance,Different,N,Y,N,Y,Y,Y,Y,Y,Weak,NC,N/A,N/A,N/A,UNK,Quarterly ,Y,UNK,UNK,UNK,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,EyeMed,"SilverSneaker (Tivity Health, Inc)",NC,NC,TruHearing,UNK,24 one-way trips/year,50 miles,N,UNK,"for a minimum of 4 hours per day up to a maximum of 80 hours per year; A member must be receiving assistance with a minimum of
one ADL to receive assistance with any IADL.
Examples of ADLs:
Assistance with:
• Bathing, Dressing, or Grooming
• Toileting
• Eating or Drinking
• Changing Positions
• Walking Independently
Examples of IADLs:
• Preparing meals
• Shopping on behalf of the member for groceries or personal items
• Performing light housework*
• Laundry
• Dishes",ADT,"$0 copayment per year for
installation and monitoring service; uses two way voice communication & five location
seeking technologies to send help quickly to wherever the member is
located.",Humana Well Dine® (Mom's Meals),"Y, unlimited maximum per calendar year for
wigs related to chemotherapy treatment. The provider who prescribed
chemotherapy must notify us to authorize your wig purchase. Once you
purchase a wig, submit your receipt to us for reimbursement.",NC,UNK,NC,UNK,UNK,NC,N
AZ: Maricopa,"UnitedHealth Group, Inc.",H0609 - 046 - 000,Zero MAPD HMO,,,,N,"$2,000",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,NC,N/A,N/A,N/A,In store: Solutran; online and over the phone: Firstline,Quarterly ,Y,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,"OptumHealth Care
Solutions, LLC","Routine visits to treat nerve,
muscle, and/or bone pain and nausea. No referral required. Does not cover treatment for:
• Weight loss, Sexual dysfunction, Mental conditions such as depression, smoking
cessation, or drug or alcohol addiction, Any other conditions not related to the relief of pain",UNK,NC,NC,"OptumHealth Care
Solutions, LLC","12 routine chiropractic visits each year. Covered services include routine visits to treat nerve, muscle, and/or bone pain and nausea. No referral required.",UnitedHealthcare Vision®,Renew Active®,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,ModivCare®,36 one-way trips/year,50 miles,N,NC,NC,NC,NC,Mom’s Meals®,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
AZ: Maricopa,"UnitedHealth Group, Inc.",H0609 - 027 - 000,Zero MAPD HMO,,,,N,"$2,500",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,NC,N/A,N/A,N/A,In store: Solutran; online and over the phone: Firstline,Quarterly ,Y,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,NC,N/A,UNK,NC,NC,NC,NC,UnitedHealthcare Vision®,Renew Active®,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,ModivCare®,24 one-way trips/year,50 miles,N,NC,NC,NC,NC,Mom’s Meals®,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
AZ: Maricopa,"UnitedHealth Group, Inc.",H0609 - 026 - 000,Zero MAPD HMO,,,,N,$500,Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,NC,N/A,N/A,N/A,In store: Solutran; online and over the phone: Firstline,Quarterly ,Y,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,"OptumHealth Care
Solutions, LLC","Routine visits to treat nerve,
muscle, and/or bone pain and nausea. No referral required. Does not cover treatment for:
• Weight loss, Sexual dysfunction, Mental conditions such as depression, smoking
cessation, or drug or alcohol addiction, Any other conditions not related to the relief of pain",UNK,NC,NC,"OptumHealth Care
Solutions, LLC","12 routine chiropractic visits each year. Covered services include routine visits to treat nerve, muscle, and/or bone pain and nausea. No referral required.",UnitedHealthcare Vision®,Renew Active®,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,ModivCare®,36 one-way trips/year,50 miles,N,NC,NC,NC,NC,Mom’s Meals®,NC,Nc,UNK,NC,UNK,UNK,NurseLine,Y
AZ: Maricopa,CVS Health Corporation,H5521 - 100 - 000,Zero MAPD PPO,,,,N,"$1,250",Y,"0% IN, 20% OON","0% IN, 20% OON",Unknown,"0% IN, 20% OON","0% IN, 20% OON",N/A,Aetna PPO,,Vendor,Different,N,Y,Unknown,Y,Y,N?,Y,Y,Weak ,NC,N/A,N/A,N/A,CVS OTC Health Solutions,Quarterly ,Y,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UNK,"SilverSneaker (Tivity Health, Inc)","UNK- You may
order one fitness kit per year through
SilverSneakers.",NC,NationsHearing,NC,NC,NC,N,NC,NC,NC,NC,GA Foods,NC,NC,"Emergency care
• Urgently needed care
Emergency ambulance transportation from the scene of an emergency to the nearest medical
treatment facility",NC,UNK,UNK,UNK,Y
AZ: Maricopa,"UnitedHealth Group, Inc.",H2228 - 074 - 000,Zero MAPD PPO,,,,N,"$1,000",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,NC,N/A,N/A,N/A,In store: Solutran; online and over the phone: Firstline,Quarterly ,Y,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision®,Renew Active®,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,NC,NC,NC,N,NC,NC,NC,NC,NC,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
AZ: Maricopa,Humana Inc.,H5216 - 265 - 000,Zero MAPD PPO,,,,,"$1,000",Y,0%,0%,N/A,0%,0%,N/A,Humana,,Vendor,Identical,N,Y,N,Y,Y,N,Y,Y,Weak,NC,N/A,N/A,N/A,UNK,Quarterly,Y,UNK,UNK,UNK,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,EyeMed,"SilverSneaker (Tivity Health, Inc)",NC,NC,TruHearing,UNK,24 one-way trips/year,125 miles ,N,UNK,"a minimum of 4 hours per day up to a maximum of 80 hours per year
for certain in-home support services to assist individuals with disabilities
and/or medical conditions in performing activities of daily living (ADLs)- and Instrumental Activities of Daily living (IADLs) within the home by a
qualified aide. A member must be receiving assistance with a minimum of
one ADL to receive assistance with any IADL. Examples of ADLs:
Assistance with:
• Bathing, Dressing, or Grooming
• Toileting
• Eating or Drinking
• Changing Positions
• Walking Independently
Examples of IADLs:
• Preparing meals
• Shopping on behalf of the member for groceries or personal items
• Performing light housework*
• Laundry
• Dishes",ADT,"$0 copayment per year for
installation and monitoring service; uses two way voice communication & five location
seeking technologies to send help quickly to wherever the member is
located.",Humana Well Dine® (Mom's Meals),NC,NC,UNK,NC,UNK,UNK,UNK,UNK
